,P,q,dP/dt,dq/dt
0.0,0.02,20.3752,0.0,0.0
0.5,0.02,20.554528806059157,0.0,0.35865761211831426
1.0,0.02,20.783621608947275,0.0,0.45818560577623657
1.5,0.02,21.012714411835393,0.0,0.45818560577623657
2.0,0.02,21.24180721472351,0.0,0.45818560577623657
2.5,0.02,22.5593,0.0,2.6349855705529777
3.0,0.02,23.72514800515589,0.0,2.3316960103117808
3.5,0.025,37.08066163151409,0.010000000000000002,26.7110272527164
4.0,0.03,48.06688823312771,0.009999999999999995,21.972453203227246
4.5,0.04,54.15629942916331,0.020000000000000004,12.178822392071197
5.0,0.05,45.75544487616244,0.020000000000000004,-16.801709106001738
5.5,0.045,38.080141607039515,-0.010000000000000009,-15.350606538245856
6.0,0.04,54.059608368918646,-0.009999999999999995,31.95893352375826
6.5,0.05,54.34407328398009,0.020000000000000004,0.5689298301228831
7.0,0.06,54.62853819904153,0.01999999999999999,0.5689298301228831
7.5,0.055,54.91300311410297,-0.009999999999999995,0.5689298301228831
8.0,0.05,55.19746802916441,-0.009999999999999995,0.5689298301228831
8.5,0.065,55.51702612665797,0.03,0.6391161949871105
9.0,0.08,55.8475088524093,0.03,0.660965451502662
9.5,0.07500000000000001,56.17799157816063,-0.009999999999999981,0.660965451502662
10.0,0.07,57.740512452905016,-0.010000000000000009,3.125041749488773
10.5,0.07500000000000001,69.1771,0.010000000000000009,22.87317509418996
11.0,0.08,78.4237902730899,0.009999999999999981,18.49338054617982
11.5,0.08499999999999999,77.79169594870109,0.009999999999999981,-1.2641886487776333
12.0,0.09,80.76134409075962,0.010000000000000009,5.939296284117063
12.5,0.1,83.73099223281815,0.020000000000000018,5.939296284117063
13.0,0.11,86.03530557959672,0.01999999999999999,4.608626693557142
13.5,0.10500000000000001,87.60836515053863,-0.009999999999999981,3.1461191418838155
14.0,0.1,102.82309883435587,-0.010000000000000009,30.429467367634487
14.5,0.11,101.15294767129595,0.01999999999999999,-3.340302326119854
15.0,0.12,103.58753679122228,0.01999999999999999,4.869178239852658
15.5,0.125,106.02212591114862,0.010000000000000009,4.869178239852687
16.0,0.13,108.40080090191657,0.010000000000000009,4.757349981535896
16.5,0.135,110.69354798947764,0.010000000000000009,4.585494175122136
17.0,0.14,112.9862950770387,0.010000000000000009,4.585494175122136
17.5,0.14,115.7437214799589,0.0,5.514852805840377
18.0,0.14,118.67023741007195,0.0,5.85303186022611
18.5,0.14500000000000002,121.04891516383033,0.010000000000000009,4.757355507516763
19.0,0.15,122.59895326390654,0.009999999999999953,3.100076200152415
19.5,0.15,130.55846974821495,0.0,15.919032968616818
20.0,0.15,131.1090146561443,0.0,1.1010898158586997
20.5,0.155,131.65955956407365,0.010000000000000009,1.1010898158586997
21.0,0.16,0.0,0.010000000000000009,-263.3191191281473
21.5,0.12,0.0,-0.08000000000000002,0.0
22.0,0.08,0.0,-0.07999999999999999,0.0
22.5,0.06,0.0,-0.04000000000000001,0.0
23.0,0.04,0.0,-0.039999999999999994,0.0
23.5,0.035,0.0,-0.009999999999999995,0.0
24.0,0.03,0.0,-0.010000000000000009,0.0
24.5,0.02,0.0,-0.019999999999999997,0.0
25.0,0.01,0.0,-0.02,0.0
25.5,0.01,0.0,0.0,0.0
26.0,0.01,106.92580412371115,0.0,213.8516082474223
26.5,0.05500000000000001,148.80501093026018,0.09000000000000001,83.75841361309807
27.0,0.1,146.48530081976952,0.09,-4.639420220981322
27.5,0.12000000000000001,144.16559070927883,0.04000000000000001,-4.639420220981378
28.0,0.14,142.60036275545627,0.04000000000000001,-3.130455907645114
28.5,0.15000000000000002,141.64253379418602,0.020000000000000018,-1.915657922540504
29.0,0.16,140.68470483291574,0.019999999999999962,-1.9156579225405608
29.5,0.165,139.7268758716455,0.010000000000000009,-1.915657922540504
30.0,0.17,138.7690469103752,0.010000000000000009,-1.9156579225405608
30.5,0.17,137.81121794910496,0.0,-1.915657922540504
31.0,0.17,136.85338898783468,0.0,-1.9156579225405608
31.5,0.18,164.82946840477243,0.019999999999999962,55.9521588338755
32.0,0.19,172.94286740331503,0.020000000000000018,16.226797997085214
32.5,0.195,169.49479278930025,0.010000000000000009,-6.8961492280295715
33.0,0.2,170.12278011302305,0.010000000000000009,1.255974647445612
33.5,0.2,171.05268042415392,0.0,1.85980062226173
34.0,0.2,171.98258073528478,0.0,1.85980062226173
34.5,0.2,174.48647237790232,0.0,5.007783285235064
35.0,0.2,175.34,0.0,1.7070552441953737
